Daily OCC Contract Volume - July 2023
Date,Equity,Index/Others,Debt,Futures,OCC Total
07/31/2023,"37,877,816","3,073,634","0","163,434","41,114,884",
07/28/2023,"48,499,158","3,467,291","0","207,890","52,174,339",
07/27/2023,"51,342,650","4,603,107","0","278,643","56,224,400",
07/26/2023,"35,941,185","3,016,831","0","185,917","39,143,933",
07/25/2023,"34,686,295","3,004,159","0","146,757","37,837,211",
07/24/2023,"36,949,849","2,912,409","0","149,690","40,011,948",
07/21/2023,"44,912,650","3,201,986","0","172,041","48,286,677",
07/20/2023,"47,611,084","4,000,518","0","160,808","51,772,410",
07/19/2023,"45,164,182","4,724,877","0","191,279","50,080,338",
07/18/2023,"42,710,498","4,329,241","0","228,805","47,268,544",
07/17/2023,"37,660,035","3,375,721","0","213,783","41,249,539",
07/14/2023,"49,059,240","3,649,485","0","225,198","52,933,923",
07/13/2023,"45,484,880","3,683,498","0","245,479","49,413,857",
07/12/2023,"44,117,958","4,248,694","0","270,171","48,636,823",
07/11/2023,"36,426,231","3,364,425","0","245,024","40,035,680",
07/10/2023,"33,315,544","2,667,401","0","213,720","36,196,665",
07/07/2023,"40,244,157","3,699,547","0","269,075","44,212,779",
07/06/2023,"38,874,200","4,265,275","0","400,166","43,539,641",
07/05/2023,"31,623,604","2,931,487","0","176,114","34,731,205",
07/03/2023,"21,418,769","1,498,522","0","100,772","23,018,063",
Jul Total,"803,919,985","69,718,108","0","4,244,766","877,882,859",
Jul Avg,"40,195,999","3,485,905","0","212,238","43,894,143",
YTD Total.,"5,867,898,525","525,005,994","0","30,876,584","6,423,781,103",
YTD Avg.,"40,749,295","3,645,875","0","214,421","44,609,591",


Daily Futures Contract Volume -July 2023
Date,Equity,Index/Others,OOF,OCC Total
07/31/2023,"0","163,434","0","163,434",
07/28/2023,"0","207,890","0","207,890",
07/27/2023,"0","278,643","0","278,643",
07/26/2023,"0","185,917","0","185,917",
07/25/2023,"0","146,757","0","146,757",
07/24/2023,"0","149,690","0","149,690",
07/21/2023,"0","172,041","0","172,041",
07/20/2023,"0","160,808","0","160,808",
07/19/2023,"0","191,279","0","191,279",
07/18/2023,"0","228,805","0","228,805",
07/17/2023,"0","213,783","0","213,783",
07/14/2023,"0","225,198","0","225,198",
07/13/2023,"0","245,479","0","245,479",
07/12/2023,"0","270,171","0","270,171",
07/11/2023,"0","245,024","0","245,024",
07/10/2023,"0","213,720","0","213,720",
07/07/2023,"0","269,075","0","269,075",
07/06/2023,"0","400,166","0","400,166",
07/05/2023,"0","176,114","0","176,114",
07/03/2023,"0","100,772","0","100,772",
Jul Total,"0","4,244,766","0","4,244,766",
Jul Avg,"0","212,238","0","212,238",
YTD Total.,"0","30,876,584","0","30,876,584",
YTD Avg.,"0","214,421","0","214,421",
